variable2,variable3,variable8,variable9,variable10,variable11,variable14,variable15,variable17,classLabel,variable1_na,variable2_na,variable4_na,variable5_na,variable14_na,variable17_na,variable18_na,variable1_a,variable1_b,variable4_l,variable4_u,variable4_y,variable5_g,variable5_gg,variable5_p,variable13_g,variable13_p,variable13_s,variable18_f,variable18_t
18.25,0.001,1.0,0,0,1,120.0,1,1200000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
17.58,0.001,0.165,0,0,1,120.0,1,1200000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
51.83,0.000204,1.5,0,1,0,120.0,1,1200000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
26.67,0.0014585000000000002,0.0,0,1,0,178.0,0,1780000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
31.42,0.00155,0.5,1,1,0,120.0,0,1200000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
25.67,0.000325,2.29,0,0,1,416.0,21,4160000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
33.75,0.000275,0.0,0,1,0,180.0,0,1800000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
32.75,0.00023349999999999998,5.75,0,1,0,292.0,0,2920000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
39.83,5e-05,0.25,1,1,0,288.0,0,2880000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
40.33,0.0008125,0.165,0,0,2,-999.0,18,0,0,False,False,False,False,True,True,True,1,0,0,0,1,0,0,1,1,0,0,0,0
35.25,0.00165,4.0,1,1,0,80.0,0,800000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
24.33,0.00025,4.5,0,1,0,200.0,456,2000000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
15.75,3.75e-05,1.0,0,1,0,120.0,18,1200000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
45.0,0.0004585,1.0,0,1,0,240.0,0,2400000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,0,0,1,0,0
30.42,0.0001375,0.04,0,0,3,0.0,33,0,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
0.0,0.00035,3.0,1,1,0,300.0,0,3000000,0,False,True,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
17.25,0.0003,0.04,0,1,0,160.0,40,1600000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
38.58,0.0005,13.5,1,1,0,980.0,0,9800000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
22.67,7.5e-05,1.585,0,0,1,400.0,9,4000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
49.0,0.00015,0.0,1,1,0,100.0,27,1000000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
27.83,0.00015,2.25,0,0,1,100.0,3,1000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
16.5,0.000125,0.25,0,0,1,108.0,98,1080000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
25.67,0.000221,4.0,1,1,0,188.0,0,1880000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
36.67,0.0002,0.25,0,1,0,221.0,0,2210000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
26.17,8.35e-05,1.165,0,1,0,100.0,0,1000000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
0.0,0.0005,8.5,1,1,0,0.0,0,0,0,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
47.25,7.5e-05,2.75,1,0,1,333.0,892,3330000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
33.67,3.75e-05,0.375,0,1,0,300.0,44,3000000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
45.0,0.00085,14.0,1,0,1,88.0,2000,880000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
33.17,0.00010400000000000001,6.5,1,1,0,164.0,31285,1640000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
25.0,8.75e-05,1.04,1,1,0,160.0,5860,1600000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
26.67,0.000175,1.0,1,0,5,160.0,5777,1600000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
48.5,0.000425,0.125,1,1,0,225.0,0,2250000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
37.42,0.000204,0.04,1,1,0,400.0,5800,4000000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
18.0,1.65e-05,0.21,0,1,0,200.0,40,2000000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
56.5,0.0016,0.0,1,0,15,0.0,247,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
25.75,5e-05,1.46,1,0,5,312.0,0,3120000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
22.58,0.001075,0.415,1,0,5,0.0,560,0,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
33.17,0.000304,2.04,1,0,1,180.0,18027,1800000,1,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,0,1
32.0,0.000175,0.04,1,1,0,393.0,0,3930000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
40.83,0.001,1.75,1,1,0,29.0,837,290000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
59.67,0.000154,0.125,1,1,0,260.0,0,2600000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
42.5,0.0004915,3.165,1,1,0,52.0,1442,520000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
28.08,0.0015,0.0,1,1,0,0.0,13212,0,1,False,False,False,False,False,False,True,1,0,0,0,1,0,0,1,1,0,0,0,0
37.75,0.00055,0.125,1,1,0,228.0,0,2280000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
53.92,0.0009625,8.665,1,0,5,0.0,0,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
47.67,2.8999999999999997e-05,15.0,1,0,20,0.0,15000,0,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
23.25,0.0001,0.835,1,1,0,300.0,0,3000000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,0,0,1,1,0
22.67,0.000254,2.585,1,1,0,0.0,0,0,1,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
54.58,0.0009415,14.415,1,0,11,30.0,300,300000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
34.25,0.0003,7.415,1,1,0,0.0,0,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
27.58,0.000204,2.0,1,0,3,370.0,560,3700000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
46.0,0.0004,0.0,1,1,0,100.0,960,1000000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
60.92,0.0005,4.0,1,0,4,0.0,99,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
47.42,0.0003,13.875,1,0,2,519.0,1704,5190000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
37.33,0.00065,4.25,1,0,12,93.0,0,930000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
33.25,0.00025,2.5,0,1,0,0.0,2,0,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
24.58,6.7e-05,1.75,1,1,0,400.0,0,4000000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
21.83,0.000154,0.085,0,1,0,356.0,0,3560000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
15.17,0.0007,1.0,0,1,0,600.0,0,6000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
22.92,0.0003165,0.165,0,1,0,160.0,1058,1600000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
69.5,0.0006,0.0,0,1,0,0.0,0,0,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,0,0,1,1,0
33.0,0.00025,7.0,0,1,0,280.0,0,2800000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
23.0,0.0001835,0.0,0,0,1,200.0,53,2000000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
22.0,7.900000000000001e-05,0.29,0,0,1,420.0,283,4200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
24.75,5.4000000000000005e-05,1.0,0,1,0,120.0,1,1200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
20.75,0.0005085,0.29,0,1,0,140.0,184,1400000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
23.0,7.5e-05,0.5,1,1,0,320.0,0,3200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
20.67,8.35e-05,2.0,0,1,0,240.0,0,2400000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,0,0,1,1,0
48.75,0.0026335,0.0,1,1,0,0.0,0,0,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
51.83,0.0003,1.5,0,1,0,180.0,4,1800000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
22.75,0.00115,0.415,0,1,0,0.0,0,0,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
17.92,0.001021,0.0,0,1,0,0.0,50,0,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
42.25,0.000175,0.0,0,1,0,150.0,1,1500000,0,True,False,False,False,False,False,False,0,0,0,0,1,0,0,1,1,0,0,1,0
27.67,0.000204,0.25,0,1,0,180.0,50,1800000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
28.75,0.00015,1.5,1,1,0,0.0,225,0,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
37.75,0.0007,11.5,1,0,7,300.0,5,3000000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
28.75,0.0001165,0.5,1,1,0,280.0,0,2800000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
23.5,0.000275,4.5,0,1,0,160.0,25,1600000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
29.5,0.0001085,1.0,0,1,0,280.0,13,2800000,0,False,False,False,False,False,False,True,1,0,0,0,1,0,0,1,1,0,0,0,0
31.92,0.0003125,3.04,0,0,2,200.0,4,2000000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
18.83,4.15e-05,0.165,0,0,1,200.0,1,2000000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,0,1
26.75,0.00045,2.5,0,1,0,200.0,1210,2000000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
27.17,0.000125,0.0,0,0,1,92.0,300,920000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
47.17,0.0005835,5.5,0,1,0,465.0,150,4650000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
23.75,4.15e-05,0.04,0,0,2,128.0,6,1280000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
41.58,0.000175,0.21,1,1,0,160.0,0,1600000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
26.33,0.0013,0.0,0,1,0,140.0,1110,1400000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
39.42,0.000171,0.165,0,1,0,400.0,0,4000000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,0,0,1,0,0
35.25,0.0003165,3.75,1,1,0,680.0,0,6800000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
18.83,0.000354,0.0,0,1,0,180.0,1,1800000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
44.83,0.0007,1.625,0,1,0,160.0,2,1600000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
50.75,5.85e-05,0.0,0,1,0,145.0,0,1450000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
19.17,0.0004,1.0,0,1,0,360.0,1000,3600000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
21.5,0.00115,0.5,1,1,0,100.0,68,1000000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
25.58,0.0,0.0,0,1,0,-999.0,0,0,1,False,False,True,True,True,True,True,1,0,0,0,0,0,0,0,0,1,0,0,0
20.42,8.35e-05,1.585,1,0,1,0.0,0,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
44.17,0.0006665,7.375,1,0,3,0.0,0,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
34.75,0.0015,5.375,1,0,9,0.0,134,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
20.5,0.001,2.5,1,1,0,40.0,0,400000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,0,0,1,0,0
22.67,1.65e-05,2.25,0,1,0,0.0,0,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
22.08,8.3e-05,2.165,0,1,0,128.0,0,1280000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
42.83,0.0004625,4.58,1,1,0,0.0,0,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
18.92,0.000925,1.0,1,0,4,80.0,500,800000,1,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1
20.67,0.0003,0.165,1,0,3,100.0,6,1000000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
32.33,5.4000000000000005e-05,0.04,1,1,0,440.0,11177,4400000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
28.92,0.0015,5.335,1,0,11,0.0,2283,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
52.83,0.0015,5.5,1,0,14,0.0,2200,0,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
20.67,0.0001835,2.085,1,0,5,220.0,2503,2200000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
36.25,0.0005,2.5,1,0,6,0.0,367,0,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
20.33,0.001,1.0,1,0,4,50.0,1465,500000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
25.75,7.5e-05,0.25,1,1,0,349.0,23,3490000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
28.17,3.75e-05,0.585,1,0,4,80.0,0,800000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
23.92,6.65e-05,0.165,0,1,0,100.0,0,1000000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
56.0,0.00125,8.0,1,1,0,24.0,2028,240000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
20.75,0.001025,0.71,1,0,2,49.0,0,490000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
30.5,0.00065,4.0,1,0,7,0.0,3065,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
45.83,0.00105,5.0,1,0,7,0.0,0,0,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
39.0,0.0005,3.5,1,0,10,0.0,0,0,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
22.08,0.0011,0.665,1,1,0,100.0,0,1000000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
28.25,0.0005125,4.75,1,0,2,420.0,7,4200000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
18.83,0.0004415,3.0,1,1,0,240.0,0,2400000,1,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
28.67,0.00010400000000000001,2.5,1,0,5,300.0,1430,3000000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
22.5,0.0008460000000000001,2.46,0,1,0,164.0,0,1640000,1,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
0.0,0.00105,6.5,1,1,0,0.0,0,0,1,False,True,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
36.08,0.000254,0.0,0,1,0,0.0,1000,0,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
40.83,0.00035,0.5,0,1,0,1160.0,0,11600000,0,True,False,False,False,False,False,False,0,0,0,1,0,1,0,0,0,0,1,1,0
20.0,0.000125,0.125,0,1,0,140.0,4,1400000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
43.25,0.0025210000000000002,0.21,1,0,1,760.0,90,7600000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
52.33,0.0001375,9.46,1,1,0,200.0,100,2000000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
19.33,0.0010915,0.585,0,0,2,200.0,7,2000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
23.58,4.6e-05,2.625,1,0,6,208.0,347,2080000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,0,1
69.17,0.0009,4.0,0,0,1,70.0,6,700000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
24.92,0.000125,0.0,1,1,0,80.0,0,800000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
23.58,5.85e-05,0.125,0,1,0,120.0,87,1200000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
20.0,0.0,0.5,0,1,0,144.0,0,1440000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
32.0,0.0006,1.25,0,1,0,272.0,0,2720000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
27.83,0.0001,3.0,0,1,0,176.0,537,1760000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
29.83,0.000125,0.25,0,1,0,224.0,0,2240000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
25.67,2.8999999999999997e-05,1.5,0,1,0,160.0,0,1600000,0,False,False,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
31.25,0.0002835,0.0,0,0,5,176.0,146,1760000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
23.08,0.00025,0.085,0,1,0,100.0,4208,1000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
31.0,0.0002085,0.085,0,1,0,300.0,0,3000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
22.17,5.85e-05,0.0,0,1,0,100.0,0,1000000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
0.0,0.0004,0.085,0,1,0,411.0,0,4110000,0,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
45.17,0.00015,2.5,1,1,0,140.0,0,1400000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
24.58,0.00135,0.0,0,1,0,-999.0,0,0,0,False,False,False,False,True,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0
33.67,0.000125,1.165,0,1,0,120.0,0,1200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
40.58,0.00015,0.0,0,1,0,300.0,0,3000000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,0,0,1,0,0
16.33,0.0004085,0.415,0,1,0,120.0,0,1200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
35.75,0.00024150000000000002,0.125,0,0,2,220.0,1,2200000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
0.0,0.00015,0.0,0,0,2,200.0,105,2000000,0,False,True,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
49.58,0.0019,0.0,1,0,1,94.0,0,940000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
30.25,0.00055,5.5,0,1,0,100.0,0,1000000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,0,0,1,0,0
34.67,0.00010800000000000001,1.165,0,1,0,28.0,0,280000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,0,0,1,1,0
50.25,8.35e-05,0.5,0,1,0,240.0,117,2400000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
0.0,0.0003,7.0,0,1,0,0.0,1,0,0,False,True,False,False,False,False,False,0,1,0,0,1,0,0,1,1,0,0,1,0
57.58,0.0002,6.5,0,0,1,0.0,10,0,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
24.83,0.00045,1.0,0,1,0,360.0,6,3600000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
22.25,0.0009,0.085,0,1,0,0.0,0,0,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
21.08,0.0010085,1.25,0,1,0,260.0,0,2600000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
52.17,0.0,0.0,0,1,0,0.0,0,0,0,False,False,False,False,False,False,True,1,0,0,0,1,0,0,1,1,0,0,0,0
23.58,0.00115,3.0,0,1,0,20.0,16,200000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
21.5,0.000975,0.25,1,1,0,140.0,0,1400000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
28.5,0.000304,2.54,1,0,1,70.0,0,700000,1,False,False,False,False,False,False,True,1,0,0,0,1,0,0,1,1,0,0,0,0
19.17,0.00095,1.5,1,1,0,120.0,2206,1200000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
21.5,0.0006,2.5,1,0,3,80.0,918,800000,1,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
17.5,0.0022,0.0,0,1,0,450.0,100000,4500000,1,False,False,False,False,False,False,False,0,1,1,0,0,0,1,0,0,1,0,1,0
26.67,0.000271,5.25,1,0,1,211.0,0,2110000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
34.42,0.000425,3.25,1,0,2,274.0,610,2740000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
73.42,0.001775,0.0,1,1,0,0.0,0,0,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
23.0,0.001175,0.5,1,0,2,300.0,551,3000000,1,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
23.08,0.00025,1.085,1,0,11,60.0,2184,600000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
19.42,0.00065,1.46,1,0,7,80.0,2954,800000,1,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
23.33,0.0011625,0.835,1,1,0,160.0,300,1600000,1,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
42.17,0.000504,12.75,1,1,0,92.0,0,920000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
21.25,0.00015,1.5,0,1,0,150.0,8,1500000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
34.17,0.000525,0.085,0,1,0,290.0,6,2900000,1,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
